N	M	D	H	PowerDemand
319	1	14	6	609
320	1	14	7	609
321	1	14	8	609
322	1	14	9	609
323	1	14	10	609
324	1	14	11	609
325	1	14	12	849
326	1	14	13	849
327	1	14	14	849
328	1	14	15	849
329	1	14	16	849
330	1	14	17	729
331	1	14	18	729
332	1	14	19	729
333	1	14	20	729
334	1	14	21	729
335	1	14	22	729
336	1	14	23	429
337	1	15	0	566.2
338	1	15	1	566.2
339	1	15	2	566.2
340	1	15	3	566.2
341	1	15	4	566.2
342	1	15	5	566.2
343	1	15	6	1423.13333333333
344	1	15	7	10297.7765102975
345	1	15	8	6168
346	1	15	9	6168
347	1	15	10	9141.2
348	1	15	11	9052.6
349	1	15	12	7866.1
350	1	15	13	849
351	1	15	14	5481.5
352	1	15	15	9187.5
353	1	15	16	4820.33333333333
354	1	15	17	822.896681359079
355	1	15	18	866.2
356	1	15	19	1131.53333333333
357	1	15	20	866.2
358	1	15	21	866.2
359	1	15	22	866.2
360	1	15	23	566.2
361	1	16	0	566.2
362	1	16	1	566.2
363	1	16	2	566.2
364	1	16	3	566.2
365	1	16	4	566.2
366	1	16	5	566.2
367	1	16	6	1423.13333333333
368	1	16	7	10291.6500539124
369	1	16	8	6168
370	1	16	9	6168
371	1	16	10	8641.2
372	1	16	11	8552.6
373	1	16	12	7866.1
374	1	16	13	849
375	1	16	14	5481.5
376	1	16	15	9187.5
377	1	16	16	4820.33333333333
378	1	16	17	819.752878313341
379	1	16	18	866.2
380	1	16	19	1131.53333333333
381	1	16	20	866.2
382	1	16	21	866.2
383	1	16	22	866.2
384	1	16	23	566.2
385	1	17	0	566.2
386	1	17	1	566.2
387	1	17	2	566.2
388	1	17	3	566.2
389	1	17	4	566.2
390	1	17	5	566.2
391	1	17	6	1423.13333333333
392	1	17	7	10285.1337248853
393	1	17	8	6168
394	1	17	9	6168
395	1	17	10	9141.2
396	1	17	11	9052.6
397	1	17	12	7866.1
398	1	17	13	849
399	1	17	14	5481.5
400	1	17	15	9187.5
401	1	17	16	4820.33333333333
402	1	17	17	816.554462523205
403	1	17	18	866.2
404	1	17	19	1131.53333333333
405	1	17	20	866.2
406	1	17	21	866.2
407	1	17	22	866.2
408	1	17	23	566.2
409	1	18	0	566.2
410	1	18	1	566.2
411	1	18	2	566.2
412	1	18	3	566.2
413	1	18	4	566.2
414	1	18	5	566.2
415	1	18	6	1423.13333333333
416	1	18	7	10278.2305711704
417	1	18	8	6168
418	1	18	9	6168
419	1	18	10	8641.2
420	1	18	11	8552.6
421	1	18	12	7866.1
422	1	18	13	849
423	1	18	14	5481.5
424	1	18	15	9187.5
425	1	18	16	4820.33333333333
426	1	18	17	813.303551779357
427	1	18	18	866.2
428	1	18	19	1131.53333333333
429	1	18	20	866.2
430	1	18	21	866.2
431	1	18	22	866.2
432	1	18	23	566.2
433	1	19	0	566.2
434	1	19	1	566.2
435	1	19	2	566.2
436	1	19	3	566.2
437	1	19	4	566.2
438	1	19	5	566.2
439	1	19	6	1423.13333333333
440	1	19	7	10270.9437989806
441	1	19	8	6168
442	1	19	9	6168
443	1	19	10	9141.2
444	1	19	11	9052.6
445	1	19	12	7866.1
446	1	19	13	849
447	1	19	14	5481.5
448	1	19	15	9187.5
449	1	19	16	4820.33333333333
450	1	19	17	810.002252950257
451	1	19	18	866.2
452	1	19	19	1131.53333333333
453	1	19	20	866.2
454	1	19	21	866.2
455	1	19	22	866.2
456	1	19	23	566.2
457	1	20	0	429
458	1	20	1	429
459	1	20	2	429
460	1	20	3	429
461	1	20	4	429
462	1	20	5	429
463	1	20	6	609
464	1	20	7	609
465	1	20	8	609
466	1	20	9	609
467	1	20	10	609
468	1	20	11	609
469	1	20	12	849
470	1	20	13	849
471	1	20	14	849
472	1	20	15	849
473	1	20	16	849
474	1	20	17	729
475	1	20	18	729
476	1	20	19	729
477	1	20	20	729
478	1	20	21	729
479	1	20	22	729
480	1	20	23	429
481	1	21	0	429
482	1	21	1	429
483	1	21	2	429
484	1	21	3	429
485	1	21	4	429
486	1	21	5	429
487	1	21	6	609
488	1	21	7	609
489	1	21	8	609
490	1	21	9	609
491	1	21	10	609
492	1	21	11	609
493	1	21	12	849
494	1	21	13	849
495	1	21	14	849
496	1	21	15	849
497	1	21	16	849
498	1	21	17	729
499	1	21	18	729
500	1	21	19	729
501	1	21	20	729
502	1	21	21	729
503	1	21	22	729
504	1	21	23	429
505	1	22	0	566.2
506	1	22	1	566.2
507	1	22	2	566.2
508	1	22	3	566.2
509	1	22	4	566.2
510	1	22	5	566.2
511	1	22	6	1423.13333333333
512	1	22	7	10246.816019712
513	1	22	8	6168
514	1	22	9	6168
515	1	22	10	9141.2
516	1	22	11	9052.6
517	1	22	12	7866.1
518	1	22	13	849
519	1	22	14	5481.5
520	1	22	15	9187.5
521	1	22	16	4820.33333333333
522	1	22	17	799.816856903802
523	1	22	18	866.2
524	1	22	19	1131.53333333333
525	1	22	20	866.2
526	1	22	21	866.2
527	1	22	22	866.2
528	1	22	23	566.2
529	1	23	0	566.2
530	1	23	1	566.2
531	1	23	2	566.2
532	1	23	3	566.2
533	1	23	4	566.2
534	1	23	5	566.2
535	1	23	6	1423.13333333333
536	1	23	7	10238.0296899162
537	1	23	8	6168
538	1	23	9	6168
539	1	23	10	8641.2
540	1	23	11	8552.6
541	1	23	12	7866.1
542	1	23	13	849
543	1	23	14	5481.5
544	1	23	15	9187.5
545	1	23	16	4820.33333333333
546	1	23	17	796.334730573925
547	1	23	18	866.2
548	1	23	19	1131.53333333333
549	1	23	20	866.2
550	1	23	21	866.2
551	1	23	22	866.2
552	1	23	23	566.2
553	1	24	0	566.2
554	1	24	1	566.2
555	1	24	2	566.2
556	1	24	3	566.2
557	1	24	4	566.2
558	1	24	5	566.2
559	1	24	6	1423.13333333333
560	1	24	7	10228.8778388728
561	1	24	8	6168
562	1	24	9	6168
563	1	24	10	9141.2
564	1	24	11	9052.6
565	1	24	12	7866.1
566	1	24	13	849
567	1	24	14	5481.5
568	1	24	15	9187.5
569	1	24	16	4820.33333333333
570	1	24	17	792.812462963835
571	1	24	18	866.2
572	1	24	19	1131.53333333333
573	1	24	20	866.2
574	1	24	21	866.2
575	1	24	22	866.2
576	1	24	23	566.2
577	1	25	0	566.2
578	1	25	1	566.2
579	1	25	2	566.2
580	1	25	3	566.2
581	1	25	4	566.2
582	1	25	5	566.2
583	1	25	6	1423.13333333333
584	1	25	7	10219.3644412134
585	1	25	8	6168
586	1	25	9	6168
587	1	25	10	8641.2
588	1	25	11	8552.6
589	1	25	12	7866.1
590	1	25	13	849
591	1	25	14	5481.5
592	1	25	15	9187.5
593	1	25	16	4820.33333333333
594	1	25	17	789.252022946052
595	1	25	18	866.2
596	1	25	19	1131.53333333333
597	1	25	20	866.2
598	1	25	21	866.2
599	1	25	22	866.2
600	1	25	23	566.2
601	1	26	0	566.2
602	1	26	1	566.2
603	1	26	2	566.2
604	1	26	3	566.2
605	1	26	4	566.2
606	1	26	5	566.2
607	1	26	6	1423.13333333333
608	1	26	7	10209.4935719672
609	1	26	8	6168
610	1	26	9	6168
611	1	26	10	9141.2
612	1	26	11	9052.6
613	1	26	12	7866.1
614	1	26	13	849
615	1	26	14	5481.5
616	1	26	15	9187.5
617	1	26	16	4820.33333333333
618	1	26	17	785.655345547914
619	1	26	18	866.2
620	1	26	19	1131.53333333333
621	1	26	20	866.2
622	1	26	21	866.2
623	1	26	22	866.2
624	1	26	23	566.2
625	1	27	0	429
626	1	27	1	429
627	1	27	2	429
628	1	27	3	429
629	1	27	4	429
630	1	27	5	429
631	1	27	6	609
632	1	27	7	609
633	1	27	8	609
634	1	27	9	609
635	1	27	10	609
636	1	27	11	609
637	1	27	12	849
638	1	27	13	849
639	1	27	14	849
640	1	27	15	849
641	1	27	16	849
642	1	27	17	729
643	1	27	18	729
644	1	27	19	729
645	1	27	20	729
646	1	27	21	729
647	1	27	22	729
648	1	27	23	429
649	1	28	0	429
650	1	28	1	429
651	1	28	2	429
652	1	28	3	429
653	1	28	4	429
654	1	28	5	429
655	1	28	6	609
656	1	28	7	609
657	1	28	8	609
658	1	28	9	609
659	1	28	10	609
660	1	28	11	609
661	1	28	12	849
662	1	28	13	849
663	1	28	14	849
664	1	28	15	849
665	1	28	16	849
666	1	28	17	729
667	1	28	18	729
668	1	28	19	729
669	1	28	20	729
670	1	28	21	729
671	1	28	22	729
672	1	28	23	429
673	1	29	0	566.2
674	1	29	1	566.2
675	1	29	2	566.2
676	1	29	3	566.2
677	1	29	4	566.2
678	1	29	5	566.2
679	1	29	6	1423.13333333333
680	1	29	7	10177.7782447647
681	1	29	8	6168
682	1	29	9	6168
683	1	29	10	9141.2
684	1	29	11	9052.6
685	1	29	12	7866.1
686	1	29	13	849
687	1	29	14	5481.5
688	1	29	15	9187.5
689	1	29	16	4820.33333333333
690	1	29	17	774.66667581964
691	1	29	18	866.2
692	1	29	19	1131.53333333333
693	1	29	20	866.2
694	1	29	21	866.2
695	1	29	22	866.2
696	1	29	23	566.2
697	1	30	0	566.2
698	1	30	1	566.2
699	1	30	2	566.2
700	1	30	3	566.2
701	1	30	4	566.2
702	1	30	5	566.2
703	1	30	6	1423.13333333333
704	1	30	7	10166.5200069428
705	1	30	8	6168
706	1	30	9	6168
707	1	30	10	8641.2
708	1	30	11	8552.6
709	1	30	12	7866.1
710	1	30	13	849
711	1	30	14	5481.5
712	1	30	15	9187.5
713	1	30	16	4820.33333333333
714	1	30	17	770.943630648361
715	1	30	18	866.2
716	1	30	19	1131.53333333333
717	1	30	20	866.2
718	1	30	21	866.2
719	1	30	22	866.2
720	1	30	23	566.2
721	1	31	0	566.2
722	1	31	1	566.2
723	1	31	2	566.2
724	1	31	3	566.2
725	1	31	4	566.2
726	1	31	5	566.2
727	1	31	6	1423.13333333333
