N	M	D	H	Qh
342	1	15	5	42549.4654955969
343	1	15	6	42767.8840493513
344	1	15	7	42985.5989196312
345	1	15	8	41896.2581904054
346	1	15	9	37860.291716953
347	1	15	10	26465.6373498326
348	1	15	11	16348.9967056478
349	1	15	12	8369.87065688959
350	1	15	13	1250.04122218115
351	1	15	14	0
352	1	15	15	1176.54865426289
353	1	15	16	4897.44752482011
354	1	15	17	8468.87850995586
355	1	15	18	11904.6951160499
356	1	15	19	15217.4668302507
357	1	15	20	18203.6520761756
358	1	15	21	20913.0612358081
359	1	15	22	23351.8068899741
360	1	15	23	25330.0295679708
361	1	16	0	26890.4130742158
362	1	16	1	28071.6850431759
363	1	16	2	29123.9296732556
364	1	16	3	30078.646478853
365	1	16	4	30925.3343252067
366	1	16	5	31830.3303340201
367	1	16	6	32768.6896334455
368	1	16	7	33756.8604804517
369	1	16	8	34192.429302044
370	1	16	9	32494.4274960558
371	1	16	10	29395.8773889074
372	1	16	11	25699.9048879095
373	1	16	12	24647.9926599875
374	1	16	13	23761.2653001179
375	1	16	14	23457.1735628037
376	1	16	15	23789.8991655129
377	1	16	16	24594.1651173325
378	1	16	17	25284.8061728173
379	1	16	18	25891.8942632022
380	1	16	19	26403.6329868247
381	1	16	20	26731.1570959123
382	1	16	21	26911.0811653547
383	1	16	22	26937.545028909
384	1	16	23	27020.1777270813
385	1	17	0	27134.2326727108
386	1	17	1	27296.3380293163
387	1	17	2	27502.0402203211
388	1	17	3	27747.2984511235
389	1	17	4	28028.4464502131
390	1	17	5	28303.0766555441
391	1	17	6	28591.3337224997
392	1	17	7	28872.4140881413
393	1	17	8	28900.9160710862
394	1	17	9	28366.2249637644
395	1	17	10	27453.971195547
396	1	17	11	26168.4827276213
397	1	17	12	22316.8172660678
398	1	17	13	19301.5378927726
399	1	17	14	17919.6705447339
400	1	17	15	18348.1402175289
401	1	17	16	20164.83265337
402	1	17	17	21852.2251349043
403	1	17	18	23441.8424440264
404	1	17	19	24923.2063715397
405	1	17	20	26286.8098863521
406	1	17	21	27563.1082221253
407	1	17	22	28740.6527530436
408	1	17	23	29789.5154245566
409	1	18	0	30702.0826293467
410	1	18	1	31510.527531907
411	1	18	2	32165.879109192
412	1	18	3	32701.8674436943
413	1	18	4	33110.0152274075
414	1	18	5	33421.711976672
415	1	18	6	33665.4378546768
416	1	18	7	33827.9522255277
417	1	18	8	32719.0578813145
418	1	18	9	30060.4700452539
419	1	18	10	25598.740014118
420	1	18	11	20863.6933020955
421	1	18	12	15926.2625402221
422	1	18	13	11949.4992328384
423	1	18	14	9878.02723611253
424	1	18	15	10610.3683151616
425	1	18	16	12968.3750905997
426	1	18	17	15322.7748725328
427	1	18	18	17673.9019769741
428	1	18	19	20022.0597336852
429	1	18	20	22211.1989550399
430	1	18	21	24236.5178038483
431	1	18	22	26132.7406043847
432	1	18	23	27696.8866347431
433	1	19	0	28959.7345979246
434	1	19	1	29949.2104573233
435	1	19	2	30846.9762474203
436	1	19	3	31661.5321622635
437	1	19	4	32400.5905511342
438	1	19	5	33110.2300410976
439	1	19	6	33793.1773376397
440	1	19	7	34451.9064201791
441	1	19	8	34134.2698383016
442	1	19	9	33726.5450840846
443	1	19	10	32813.0507343531
444	1	19	11	28934.5493070925
445	1	19	12	24264.5885215154
446	1	19	13	19863.165935584
447	1	19	14	17995.3934648267
448	1	19	15	18257.9400380916
449	1	19	16	20200.2360254085
450	1	19	17	22021.1309802608
451	1	19	18	23731.877018605
452	1	19	19	25342.6833483388
453	1	19	20	26823.7318310128
454	1	19	21	28206.5896885399
455	1	19	22	29480.8172181661
456	1	19	23	30734.6450782006
457	1	20	0	31969.9640223178
458	1	20	1	33188.4895587223
459	1	20	2	34254.994340165
460	1	20	3	35183.5684870309
461	1	20	4	35986.9961697655
462	1	20	5	36657.336101166
